keys,zh,en
UI_SCORE,"分数：%d","Score: %d"
UI_KILLS,"击杀：%d","Kills: %d"
UI_DIFF_FMT,"难度 x%.2f · %s","Diff x%.2f · %s"
DIFF_EASY,"易","Easy"
DIFF_MEDIUM,"中","Med"
DIFF_HARD,"难","Hard"
UI_FUEL,"燃料","Fuel"
UI_DASH,"冲刺","Dash"
UI_PARRY,"弹反","Parry"
MS_READY,"母舰就绪 [H]","Mothership Ready [H]"
MS_CHARGING,"母舰蓄力 %d%%","Charging %d%%"
MS_COOLDOWN,"母舰冷却 %ds","Cooldown %ds"
MS_DESCEND,"母舰召唤中","Mothership Inbound"
MS_DOCKING,"对接中","Docking"
MS_STAY,"驻留 %ds","Docked %ds"
MS_LEAVE,"母舰离场","Departing"
POP_RESUPPLY,"补给完成","Resupply Complete"
POP_EARLY_LEAVE,"提前脱离，冷却 -%d%%","Early Exit, CD -%d%%"
MS_SEQ_TITLE,"母舰召唤链路 // 机库实况","MOTHERSHIP UPLINK // HANGAR FEED"
MS_SEQ_CHARGE,"充能管线断开","CHARGE LINES DISENGAGED"
MS_SEQ_ARMS,"维护臂解除链接","MAINTENANCE ARMS RELEASED"
MS_SEQ_LAUNCH,"弹射出击 · 穿梭器启动","LAUNCH — WARP DRIVE ENGAGED"
POD_SECURED,"已回收至保护舱","Pilot Secured in Pod"
WARN_BOSS,"⚠ 警告：强敌接近 ⚠","⚠ WARNING: BOSS INBOUND ⚠"
BOSS_TYPE_1,"Ⅰ型 · 堡垒","Type I · Bastion"
BOSS_TYPE_2,"Ⅱ型 · 猎手","Type II · Hunter"
BOSS_TYPE_3,"Ⅲ型 · 母舰级","Type III · Carrier"
BOSS_TYPE_4,"Ⅳ型 · 月蚀","Type IV · Eclipse"
BOSS_PHASE_ENRAGE,"狂暴","ENRAGE"
BANNER_MOTHERSHIP_ARRIVED,"母舰已到达，可对接补给","MOTHERSHIP ARRIVED — DOCK TO RESUPPLY"
WARN_MAG,"母舰弹药不足","Mothership Ammo Low"
HOME_CHARGE,"返航蓄力 %d%%","Homecoming %d%%"
GIVE_UP_CHARGE,"放弃出击 %d%%","Abandoning %d%%"
MS_EARLY_LEAVE,"提前离舰 %d%%","Early Leave %d%%"
BUFF_TITLE,"选择一项强化","Choose an Upgrade"
BUFF_LV_FMT,"%s Lv.%d","%s Lv.%d"
BUFF_STACKS_FMT,"Lv.%d","Lv.%d"
BUFF_POWER_SHOT_NAME,"强力射击","Power Shot"
BUFF_POWER_SHOT_DESC,"子弹伤害 ×1.25（最多 5 层）","Bullet damage ×1.25 (max 5 stacks)"
BUFF_RAPID_FIRE_NAME,"急速射击","Rapid Fire"
BUFF_RAPID_FIRE_DESC,"射速提升 33%（最多 4 层）","+33% fire rate (max 4 stacks)"
BUFF_SPREAD_SHOT_NAME,"散射弹道","Spread Shot"
BUFF_SPREAD_SHOT_DESC,"+1 条散射弹道（最多 3 层）","+1 projectile (max 3)"
BUFF_EXTRA_LIFE_NAME,"额外生命","Extra Life"
BUFF_EXTRA_LIFE_DESC,"最大生命 +50，立即回复 30（最多 10 层）","+50 max HP, heal 30 (max 10 stacks)"
BUFF_REGEN_NAME,"自我修复","Regen"
BUFF_REGEN_DESC,"每秒回复 2 点生命","+2 HP per second"
BUFF_PIERCING_NAME,"穿透弹","Piercing"
